registered,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Customer_Segment
4380,265,1,4862,4,4,3,443,3,Regular Customers
4495,203,1,4972,4,4,3,443,3,Regular Customers
4551,250,1,5026,4,4,3,443,3,Regular Customers
4571,280,1,5102,4,4,3,443,3,Regular Customers
3486,218,1,6043,4,3,4,434,0,Regular Customers
3605,269,1,6857,4,3,4,434,0,Regular Customers
3681,220,1,6536,4,3,4,434,0,Regular Customers
3694,275,1,6041,4,3,4,434,0,Regular Customers
3934,276,1,6235,4,3,4,434,0,Regular Customers
4052,143,1,6299,4,3,4,434,0,Regular Customers
4075,247,1,6304,4,3,4,434,0,Regular Customers
4083,255,1,6624,4,3,4,434,0,Regular Customers
4110,184,1,5531,4,3,4,434,3,Regular Customers
3392,178,1,4840,4,3,3,433,3,Regular Customers
3464,282,1,4996,4,3,3,433,3,Regular Customers
3469,177,1,4672,4,3,3,433,3,Regular Customers
3729,225,1,4359,4,3,3,433,3,Regular Customers
4020,258,1,4367,4,3,3,433,3,Regular Customers
4097,237,1,4717,4,3,3,433,3,Regular Customers
2939,268,1,5169,4,2,4,424,3,Regular Customers
3308,219,1,6591,4,2,4,424,0,Regular Customers
3100,248,1,4220,4,2,3,423,3,Regular Customers
3195,164,1,4459,4,2,3,423,3,Regular Customers
2339,283,1,3372,4,2,2,422,3,Regular Customers
2501,232,1,2843,4,2,2,422,1,Regular Customers
3019,253,1,3214,4,2,2,422,1,Regular Customers
907,254,1,1027,4,1,1,411,1,Regular Customers
3248,16,2,7809,5,5,5,555,0,Champions
3461,65,2,8433,5,5,5,555,0,Champions
3757,30,2,10113,5,5,5,555,2,Champions
4069,120,2,10356,5,5,5,555,2,Champions
4109,59,2,9941,5,5,5,555,0,Champions
4224,129,2,12412,5,5,5,555,2,Champions
4240,31,2,9986,5,5,5,555,0,Champions
4429,24,2,10786,5,5,5,555,2,Champions
4446,52,2,11635,5,5,5,555,2,Champions
4841,22,3,18780,5,5,5,555,2,Champions
4934,13,2,13232,5,5,5,555,2,Champions
5115,78,2,11508,5,5,5,555,2,Champions
5147,62,2,13207,5,5,5,555,2,Champions
5172,50,2,12639,5,5,5,555,2,Champions
5219,21,2,11734,5,5,5,555,2,Champions
5657,114,2,14648,5,5,5,555,2,Champions
5665,137,1,7148,5,5,5,555,0,Champions
5847,106,2,14044,5,5,5,555,2,Champions
5883,101,1,8395,5,5,5,555,0,Champions
5917,123,1,7350,5,5,5,555,0,Champions
5925,133,1,7006,5,5,5,555,0,Champions
5928,127,1,6917,5,5,5,555,0,Champions
5966,94,1,8555,5,5,5,555,0,Champions
5997,119,1,6864,5,5,5,555,0,Champions
6105,126,1,7040,5,5,5,555,0,Champions
6222,81,1,7282,5,5,5,555,0,Champions
6228,71,1,7058,5,5,5,555,0,Champions
6257,130,1,7582,5,5,5,555,0,Champions
6262,67,1,7444,5,5,5,555,0,Champions
6280,118,1,7112,5,5,5,555,0,Champions
6281,132,1,7375,5,5,5,555,0,Champions
6370,95,1,7415,5,5,5,555,0,Champions
6402,131,1,7765,5,5,5,555,0,Champions
6407,113,1,7525,5,5,5,555,0,Champions
6435,99,1,7436,5,5,5,555,0,Champions
6437,89,1,7328,5,5,5,555,0,Champions
6459,116,1,7504,5,5,5,555,0,Champions
6482,76,1,7461,5,5,5,555,0,Champions
6484,68,1,7359,5,5,5,555,0,Champions
6501,75,1,7509,5,5,5,555,0,Champions
6520,125,1,7697,5,5,5,555,0,Champions
6541,124,1,7713,5,5,5,555,0,Champions
6612,77,1,7534,5,5,5,555,0,Champions
6625,70,1,7466,5,5,5,555,0,Champions
6630,109,1,8009,5,5,5,555,0,Champions
6640,88,1,8156,5,5,5,555,0,Champions
6642,96,1,7393,5,5,5,555,0,Champions
6693,98,1,7538,5,5,5,555,0,Champions
6697,112,1,7767,5,5,5,555,0,Champions
6736,82,1,7570,5,5,5,555,0,Champions
6750,110,1,7804,5,5,5,555,0,Champions
6781,103,1,7720,5,5,5,555,0,Champions
6803,104,1,7591,5,5,5,555,0,Champions
6820,111,1,7870,5,5,5,555,0,Champions
6844,90,1,7572,5,5,5,555,0,Champions
6898,69,1,7693,5,5,5,555,0,Champions
6911,83,1,7691,5,5,5,555,0,Champions
6917,102,1,8167,5,5,5,555,0,Champions
6946,97,1,7733,5,5,5,555,0,Champions
2115,37,2,5775,5,5,4,554,3,Regular Customers
5679,29,1,6234,5,5,4,554,0,Regular Customers
5791,84,1,6392,5,5,4,554,0,Regular Customers
6015,92,1,6778,5,5,4,554,0,Regular Customers
6055,28,1,6606,5,5,4,554,0,Regular Customers
4857,80,1,7109,5,4,5,545,0,Regular Customers
4874,93,1,6889,5,4,5,545,0,Regular Customers
5038,136,1,7865,5,4,5,545,0,Regular Customers
5167,107,1,7333,5,4,5,545,0,Regular Customers
5209,66,1,7852,5,4,5,545,0,Regular Customers
5284,73,1,8090,5,4,5,545,0,Regular Customers
5453,100,1,7907,5,4,5,545,0,Regular Customers
4316,45,1,5629,5,4,4,544,3,Regular Customers
4419,115,1,5976,5,4,4,544,0,Regular Customers
4531,41,1,5146,5,4,4,544,3,Regular Customers
4559,79,1,6639,5,4,4,544,0,Regular Customers
4562,51,1,6852,5,4,4,544,0,Regular Customers
4604,85,1,5478,5,4,4,544,3,Regular Customers
4671,74,1,5424,5,4,4,544,3,Regular Customers
4692,72,1,6824,5,4,4,544,0,Regular Customers
4881,57,1,5259,5,4,4,544,3,Regular Customers
4975,54,1,5315,5,4,4,544,3,Regular Customers
5009,20,1,5319,5,4,4,544,3,Regular Customers
5035,26,1,5375,5,4,4,544,3,Regular Customers
5050,43,1,5499,5,4,4,544,3,Regular Customers
5062,34,1,5260,5,4,4,544,3,Regular Customers
5080,33,1,5323,5,4,4,544,3,Regular Customers
5100,42,1,5634,5,4,4,544,3,Regular Customers
5107,19,1,5532,5,4,4,544,3,Regular Customers
5122,48,1,5495,5,4,4,544,3,Regular Customers
5124,14,1,5557,5,4,4,544,3,Regular Customers
5125,47,1,5445,5,4,4,544,3,Regular Customers
5182,18,1,5611,5,4,4,544,3,Regular Customers
5214,46,1,5698,5,4,4,544,3,Regular Customers
5220,56,1,5686,5,4,4,544,3,Regular Customers
5229,60,1,5847,5,4,4,544,0,Regular Customers
5283,53,1,5992,5,4,4,544,0,Regular Customers
5306,32,1,5668,5,4,4,544,3,Regular Customers
5398,27,1,5729,5,4,4,544,3,Regular Customers
5504,134,1,6530,5,4,4,544,0,Regular Customers
5520,61,1,5986,5,4,4,544,0,Regular Customers
5592,117,1,6203,5,4,4,544,0,Regular Customers
4280,17,1,5047,5,4,3,543,3,Regular Customers
4324,91,1,4639,5,4,3,543,3,Regular Customers
4373,15,1,4585,5,4,3,543,3,Regular Customers
4659,25,1,5008,5,4,3,543,3,Regular Customers
4709,55,1,5035,5,4,3,543,3,Regular Customers
4750,36,1,5087,5,4,3,543,3,Regular Customers
5554,108,1,70,5,4,1,541,1,Regular Customers
3772,128,1,5255,5,3,4,534,3,Regular Customers
3788,122,1,6140,5,3,4,534,0,Regular Customers
3747,44,1,4669,5,3,3,533,3,Regular Customers
3814,12,1,4128,5,3,3,533,3,Regular Customers
3906,58,1,5107,5,3,3,533,3,Regular Customers
3402,11,1,3623,5,3,2,532,3,Regular Customers
3702,105,1,4073,5,3,2,532,3,Regular Customers
3767,49,1,4094,5,3,2,532,3,Regular Customers
3836,35,1,3959,5,3,2,532,3,Regular Customers
3197,121,1,5810,5,2,4,524,3,Regular Customers
3341,135,1,4549,5,2,3,523,3,Regular Customers
2290,1,1,2729,5,2,2,522,1,Regular Customers
2307,39,1,3910,5,2,2,522,3,Regular Customers
2451,4,1,3095,5,2,2,522,1,Regular Customers
2729,86,1,3510,5,2,2,522,3,Regular Customers
2787,23,1,3228,5,2,2,522,1,Regular Customers
20,64,1,22,5,1,1,511,1,Hibernating
432,6,1,441,5,1,1,511,1,Hibernating
573,7,1,1013,5,1,1,511,1,Hibernating
746,8,1,920,5,1,1,511,1,Hibernating
1009,63,1,1096,5,1,1,511,1,Hibernating
1182,3,1,1341,5,1,1,511,1,Hibernating
1379,9,1,1787,5,1,1,511,1,Hibernating
1432,2,1,1796,5,1,1,511,1,Hibernating
1470,40,1,2425,5,1,1,511,1,Hibernating
1544,10,1,1749,5,1,1,511,1,Hibernating
1745,38,1,2277,5,1,1,511,1,Hibernating
1867,5,1,2114,5,1,1,511,1,Hibernating
